date;testes;positif;gueris;commun;contact;import;deces;vaccines
22/01/2022;1828;163;282;145;17;1;2;
24/01/2022;1442;79;304;78;1;0;4;
25/01/2022;1011;79;346;74;4;1;4;
26/01/2022;1885;160;352;153;7;0;4;
27/01/2022;1519;96;320;91;5;0;2;
28/01/2022;1506;77;291;73;4;0;2;
29/01/2022;1531;70;320;67;2;1;0;
30/01/2022;1850;80;298;78;1;1;3;
31/01/2022;1265;63;327;57;5;1;1;
01/02/2022;1036;39;301;32;6;1;3;
02/02/2022;1392;34;288;33;1;0;0;
03/02/2022;1287;45;245;42;3;0;1;
04/02/2022;1190;26;240;26;0;0;3;
06/02/2022;1722;28;304;28;0;0;1;
07/02/2022;1722;28;304;28;0;0;1;
08/02/2022;1295;19;260;19;0;0;0;
09/02/2022;1371;26;175;24;2;0;0;
10/02/2022;1313;26;248;24;1;1;0;
11/02/2022;1568;38;126;36;2;0;0;
12/02/2022;1608;24;70;21;3;0;0;
13/02/2022;1727;42;50;39;3;0;1;
14/02/2022;2121;28;67;27;1;0;0;
15/02/2022;1016;14;85;14;0;0;0;
16/02/2022;1465;15;55;13;2;0;0;
17/02/2022;1192;26;46;23;3;0;1;
18/02/2022;1257;26;37;21;5;0;0;
19/02/2022;1200;24;32;23;1;0;0;
20/02/2022;1569;19;24;18;1;0;0;
21/02/2022;1423;24;38;19;5;0;0;
22/02/2022;909;12;17;12;0;0;1;
23/02/2022;1346;19;23;17;1;1;1;
24/02/2022;1171;18;16;18;2;0;0;
25/02/2022;1196;14;23;13;1;0;0;
26/02/2022;1222;15;15;14;1;0;0;
27/02/2022;1349;10;12;10;0;0;0;
28/02/2022;1353;17;9;16;1;0;0;
01/03/2022;939;6;20;4;1;1;0;
02/03/2022;1422;13;13;12;1;0;0;
03/03/2022;932;17;19;17;0;0;0;
04/03/2022;1186;10;12;9;1;0;1;
05/03/2022;1487;8;10;6;2;0;0;
06/03/2022;1090;10;14;10;0;0;0;
07/03/2022;1307;11;8;10;1;0;1;
08/03/2022;784;4;9;4;0;0;0;
09/03/2022;1378;3;13;3;0;0;0;
10/03/2022;1078;7;11;7;0;0;0;
11/03/2022;1306;3;7;3;0;0;2;
12/03/2022;1238;7;5;7;0;0;0;
13/03/2022;1670;5;8;5;0;0;0;
14/03/2022;1296;9;4;9;0;0;0;
15/03/2022;707;2;8;2;0;0;0;
